line,variable
"org.apache.commons.math3.stat.regression$RegressionResults#getVcvElement(int,int):413",varCovData;i;j
"org.apache.commons.math3.stat.regression$RegressionResults#getVcvElement(int,int):415",varCovData;i;j
"org.apache.commons.math3.linear$AbstractFieldMatrix#copySubMatrix(int[],int[],org.apache.commons.math3.FieldElement[][]):436",selectedColumns;destination;selectedRows
"org.apache.commons.math3.stat.regression$RegressionResults#getVcvElement(int,int):419",i;j
org.apache.commons.math3.optimization.direct$BaseAbstractMultivariateVectorOptimizer#getWeightRef():307,weight
org.apache.commons.math3.distribution$AbstractRealDistribution#getSolverAbsoluteAccuracy():241,solverAbsoluteAccuracy
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):2108",ZERO;temp
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):263,i;n
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):259",j;n
org.apache.commons.math3.distribution$AbstractRealDistribution#sample(int):269,sampleSize
"org.apache.commons.math3.genetics$CycleCrossover#mate(org.apache.commons.math3.genetics.AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome):160",cycle
"org.apache.commons.math3.genetics$CycleCrossover#mate(org.apache.commons.math3.genetics.AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome):161",i
"org.apache.commons.math3.util$MathArrays#sortInPlace(double[],org.apache.commons.math3.util.MathArrays$OrderDirection,double[][]):692",yListLen;j
org.apache.commons.math3.geometry.euclidean.oned$Vector1D#toString(java.text.NumberFormat):345,format
"org.apache.commons.math3.util$MathArrays#sortInPlace(double[],org.apache.commons.math3.util.MathArrays$OrderDirection,double[][]):694",y
"org.apache.commons.math3.util$MathArrays#sortInPlace(double[],org.apache.commons.math3.util.MathArrays$OrderDirection,double[][]):697",len;y
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):251",comparator;compare;outContracted;reflected
org.apache.commons.math3.distribution$AbstractRealDistribution#sample(int):274,i;sampleSize
org.apache.commons.math3.geometry.euclidean.oned$Vector1D#toString():340,Vector1DFormat;format;getInstance
org.apache.commons.math3.distribution$AbstractRealDistribution#sample(int):277,out
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):252,j;n
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):254,i;n
org.apache.commons.math3.distribution$AbstractRealDistribution#sample():259,random;inverseCumulativeProbability;nextDouble
"org.apache.commons.math3.genetics$CycleCrossover#mate(org.apache.commons.math3.genetics.AbstractListChromosome,org.apache.commons.math3.genetics.AbstractListChromosome):150",indices;get;idx
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):250,nrt;e;k
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):258,i;n
org.apache.commons.math3.optimization.linear$SimplexSolver#doOptimize():236,tableau;getSolution
org.apache.commons.math3.optimization.linear$SimplexSolver#doOptimize():233,tableau;isOptimal
org.apache.commons.math3.stat$StatUtils#variance(double[]):332,values;VARIANCE;evaluate
org.apache.commons.math3.geometry.euclidean.oned$Vector1D#hashCode():332,x;hash;MathUtils
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):265",comparator;compare;worst;inContracted
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):241,i;m
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):235",cut
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):235",comparator;expanded;compare;reflected
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):249,k
"org.apache.commons.math3.linear$AbstractFieldMatrix#setSubMatrix(org.apache.commons.math3.FieldElement[][],int,int):483",nRows;i
"org.apache.commons.math3.linear$AbstractFieldMatrix#setSubMatrix(org.apache.commons.math3.FieldElement[][],int,int):484",j;nCols
org.apache.commons.math3.distribution$AbstractIntegerDistribution#sample():193,random;inverseCumulativeProbability;nextDouble
"org.apache.commons.math3.ode.nonstiff$AdamsNordsieckTransformer#updateHighOrderDerivativesPhase2(double[],double[],org.apache.commons.math3.linear.Array2DRowRealMatrix):334",dataI;j
"org.apache.commons.math3.ode.nonstiff$AdamsNordsieckTransformer#updateHighOrderDerivativesPhase2(double[],double[],org.apache.commons.math3.linear.Array2DRowRealMatrix):331",data;i
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1931",ZERO;ds
org.apache.commons.math3.util$FastMath#tanh(double):703,result
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1937",ZERO;shs
org.apache.commons.math3.distribution$AbstractRealDistribution#inverseCumulativeProbability(double):211,isSupportConnected
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):246",j;n
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):233,i;m
"org.apache.commons.math3.linear$AbstractFieldMatrix#setSubMatrix(org.apache.commons.math3.FieldElement[][],int,int):472",r;nRows
"org.apache.commons.math3.linear$AbstractFieldMatrix#setSubMatrix(org.apache.commons.math3.FieldElement[][],int,int):473",r;subMatrix;nCols
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):237,i;k
org.apache.commons.math3.optimization.direct$CMAESOptimizer$PopulationSize#CMAESOptimizer$PopulationSize(int):455,size
"org.apache.commons.math3.stat$StatUtils#variance(double[],double,int,int):396",mean;values;length;VARIANCE;begin;evaluate
org.apache.commons.math3.linear$JacobiPreconditioner$1#getColumnDimension():132,getDimension;sqrtDiag
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1947",ZERO;s;i;getEntry
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1946",i;n
org.apache.commons.math3.distribution$AbstractRealDistribution$1#value(double):202,p;cumulativeProbability;x
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1949",ZERO;s;i;getEntry
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):243",comparator;compare;reflected;worst
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):216",j;n
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):221,k
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):222,singularValues;k
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):2195",iact;iu;isav
org.apache.commons.math3.distribution$AbstractRealDistribution#inverseCumulativeProbability(double):226,upperBound
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#firstIntersection(org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):219",getTree;line;recurseFirstIntersection;point
"org.apache.commons.math3.stat.regression$RegressionResults#getVcvElement(int,int):409",varCovData;i;j
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):229,i;m
"org.apache.commons.math3.distribution$AbstractIntegerDistribution#solveInverseCumulativeProbability(double,int,int):170",p;pm
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):223,j;n
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):225,i;m
org.apache.commons.math3.util$FastMath#asinh(double):726,a
"org.apache.commons.math3.distribution$AbstractIntegerDistribution#solveInverseCumulativeProbability(double,int,int):176",upper
"org.apache.commons.math3.stat$StatUtils#variance(double[],int,int):361",values;length;VARIANCE;begin;evaluate
"org.apache.commons.math3.linear$AbstractFieldMatrix#setSubMatrix(org.apache.commons.math3.FieldElement[][],int,int):463",nRows
"org.apache.commons.math3.stat.regression$RegressionResults#getVcvElement(int,int):404",i;j
org.apache.commons.math3.geometry.euclidean.threed$FieldVector3D#toString():1175,format;Vector3DFormat;toVector3D;getInstance
"org.apache.commons.math3.stat.regression$RegressionResults#getVcvElement(int,int):405",varCovData;i
org.apache.commons.math3.ode.nonstiff$AdamsNordsieckTransformer#updateHighOrderDerivativesPhase1(org.apache.commons.math3.linear.Array2DRowRealMatrix):311,update;highOrder;multiply
"org.apache.commons.math3.stat.regression$RegressionResults#getVcvElement(int,int):406",varCovData;i;j
org.apache.commons.math3.genetics$Chromosome#searchForFitnessUpdate(org.apache.commons.math3.genetics.Population):100,sameChromosome
"org.apache.commons.math3.stat.regression$RegressionResults#getVcvElement(int,int):407",varCovData;i;j
"org.apache.commons.math3.linear$AbstractFieldMatrix#setSubMatrix(org.apache.commons.math3.FieldElement[][],int,int):468",nCols
org.apache.commons.math3.distribution$AbstractRealDistribution#inverseCumulativeProbability(double):230,x
org.apache.commons.math3.util$FastMath#asinh(double):720,a
"org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#wilcoxonSignedRank(double[],double[]):187",i;z
"org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#wilcoxonSignedRank(double[],double[]):186",i;z
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):210",j;n
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1918",i;n
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):226",comparator;compare;reflected;best
org.apache.commons.math3.distribution$AbstractRealDistribution#inverseCumulativeProbability(double):216,cumulativeProbability;dx;x;px
"org.apache.commons.math3.optimization.univariate$BracketFinder#BracketFinder(double,int):96",maxEvaluations
"org.apache.commons.math3.optimization.univariate$BracketFinder#BracketFinder(double,int):93",growLimit
org.apache.commons.math3.distribution$AbstractRealDistribution#inverseCumulativeProbability(double):214,dx;x;getSupportLowerBound
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1919",ZERO;xbdi;i;getEntry
org.apache.commons.math3.distribution$AbstractRealDistribution#inverseCumulativeProbability(double):218,dx;upperBound;lowerBound
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):229",j;n
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):216,i;m
org.apache.commons.math3.optimization.direct$CMAESOptimizer$Sigma#getSigma():430,sigma;clone
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):215,j;n
"org.apache.commons.math3.stat.regression$SimpleRegression#removeData(double,double):216",hasIntercept
org.apache.commons.math3.util$Incrementor#incrementCount():155,count;maximalCount
"org.apache.commons.math3.distribution$AbstractIntegerDistribution#solveInverseCumulativeProbability(double,int,int):160",xm;lower;upper
"org.apache.commons.math3.linear$AbstractFieldMatrix#setSubMatrix(org.apache.commons.math3.FieldElement[][],int,int):459",subMatrix
org.apache.commons.math3.geometry.euclidean.threed$FieldVector3D#toString(java.text.NumberFormat):1183,format;toVector3D
org.apache.commons.math3.distribution$AbstractRealDistribution#inverseCumulativeProbability(double):220,cumulativeProbability;midPoint;px
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):222",comparator;compare;secondBest;reflected;best
"org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#wilcoxonSignedRank(double[],double[]):195",max;FastMath;Wminus;Wplus
"org.apache.commons.math3.stat.regression$SimpleRegression#removeData(double,double):215",n
org.apache.commons.math3.util$FastMath#acosh(double):711,a;sqrt;log;FastMath
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1927",ZERO;resid
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):2173",ZERO;sdec
org.apache.commons.math3.random$Well44497b#next(int):102,z2
org.apache.commons.math3.stat.regression$SimpleRegression#addData(double[][]):260,data;i
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):206,p;m
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):203,nct;n
"org.apache.commons.math3.optimization.direct$CMAESOptimizer#optimizeInternal(int,org.apache.commons.math3.analysis.MultivariateFunction,org.apache.commons.math3.optimization.GoalType,org.apache.commons.math3.optimization.OptimizationData[]):493",goalType;f;optData;maxEval;optimizeInternal
org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateAbsoluteDifferences(double[]):124,z
org.apache.commons.math3.linear$SingularValueDecomposition#SingularValueDecomposition(org.apache.commons.math3.linear.RealMatrix):209,p;nrt
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):274",facet
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1975",i;n
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):272",hit3D
org.apache.commons.math3.util$Incrementor#canIncrement():125,count;maximalCount
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1977",ZERO;xbdi;i;getEntry
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):275",facet
org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateAbsoluteDifferences(double[]):120,z
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):205",j;n
org.apache.commons.math3.random$Well44497b#next(int):115,bits;z4
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):2183",i;n
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):269",in
"org.apache.commons.math3.optimization.direct$NelderMeadSimplex#iterate(org.apache.commons.math3.analysis.MultivariateFunction,java.util.Comparator):203",i;n
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):2185",ZERO;xbdi;i;getEntry
org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateAbsoluteDifferences(double[]):134,zAbs
org.apache.commons.math3.util$Incrementor#incrementCount(int):136,i;value
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):266",crossed
org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateAbsoluteDifferences(double[]):130,i;z
"org.apache.commons.math3.stat.regression$SimpleRegression#addObservation(double[],double):278",x
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):265",crossed
"org.apache.commons.math3.stat.regression$SimpleRegression#addObservation(double[],double):279",x
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):259",facet
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):258",facet
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):2153",i;isav
org.apache.commons.math3.optimization.direct$CMAESOptimizer$PopulationSize#getPopulationSize():465,lambda
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1954",temp;stplen
org.apache.commons.math3.util$Incrementor#getMaximalCount():105,maximalCount
org.apache.commons.math3.linear$JacobiPreconditioner$1#getRowDimension():126,getDimension;sqrtDiag
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):255",in
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#recurseFirstIntersection(org.apache.commons.math3.geometry.partitioning.BSPTree,org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Line):247",offset
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):2162",isav
"org.apache.commons.math3.optim.nonlinear.scalar.noderiv$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):2165",iu;isav
org.apache.commons.math3.linear$AbstractFieldMatrix#getRowMatrix(int):495,i;nCols
org.apache.commons.math3.linear$AbstractFieldMatrix#getRowMatrix(int):499,out
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1964",ZERO;stplen
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1967",ZERO;temp;iact
org.apache.commons.math3.util$Incrementor#getCount():114,count
"org.apache.commons.math3.optimization.direct$BOBYQAOptimizer#trsbox(double,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector,org.apache.commons.math3.linear.ArrayRealVector):1969",crvmin;MINUS_ONE
org.apache.commons.math3.stat.regression$SimpleRegression#addData(double[][]):259,data;i
org.apache.commons.math3.linear$JacobiPreconditioner$1#operate(org.apache.commons.math3.linear.RealVector):118,ebeDivide;toArray;x;sqrtDiag;MathArrays
"org.apache.commons.math3.complex$ComplexFormat#parse(java.lang.String,java.text.ParsePosition):413",im
org.apache.commons.math3.optimization.linear$AbstractLinearOptimizer#getFunction():100,function
org.apache.commons.math3.distribution$PascalDistribution#getNumericalVariance():182,p;r
org.apache.commons.math3.optimization.linear$AbstractLinearOptimizer#getConstraints():107,unmodifiableCollection;Collections;linearConstraints
"org.apache.commons.math3.fraction$BigFractionFormat#parse(java.lang.String,java.text.ParsePosition):216",num
"org.apache.commons.math3.geometry.euclidean.threed$FieldVector3D#distanceInf(org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D,org.apache.commons.math3.geometry.euclidean.threed.Vector3D):1111",distanceInf;v1;v2
org.apache.commons.math3.distribution$AbstractIntegerDistribution#checkedCumulativeProbability(int):233,result
org.apache.commons.math3.distribution$PascalDistribution#getNumericalMean():170,p;r
"org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateExactPValue(double,int):219",j;N
"org.apache.commons.math3.fraction$BigFractionFormat#parse(java.lang.String,java.text.ParsePosition):227",c
org.apache.commons.math3.geometry.euclidean.oned$Vector1DFormat#getInstance(java.util.Locale):102,CompositeFormat;locale;getDefaultNumberFormat
"org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateExactPValue(double,int):215",i;m
"org.apache.commons.math3.stat.descriptive.moment$SemiVariance#evaluate(double[],int,int):191",biasCorrected;values;varianceDirection;m;evaluate
org.apache.commons.math3.distribution$AbstractIntegerDistribution#checkedCumulativeProbability(int):229,result;isNaN;Double
"org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateExactPValue(double,int):222",i;j
org.apache.commons.math3.distribution$AbstractIntegerDistribution#sample(int):211,out
org.apache.commons.math3.optimization.direct$CMAESOptimizer#getStatisticsDHistory():391,statisticsDHistory
"org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateExactPValue(double,int):227",rankSum;Wmax
"org.apache.commons.math3.complex$ComplexFormat#parse(java.lang.String,java.text.ParsePosition):425",re;im;sign;doubleValue
"org.apache.commons.math3.stat.inference$WilcoxonSignedRankTest#calculateExactPValue(double,int):236",largerRankSums;m
org.apache.commons.math3.distribution$AbstractIntegerDistribution#sample(int):208,i;sampleSize
"org.apache.commons.math3.complex$ComplexFormat#parse(java.lang.String,java.text.ParsePosition):421",parseFixedstring;getImaginaryCharacter;pos;CompositeFormat;source
org.apache.commons.math3.distribution$AbstractIntegerDistribution#sample(int):203,sampleSize
"org.apache.commons.math3.geometry.euclidean.threed$PolyhedronsSet#rotate(org.apache.commons.math3.geometry.euclidean.threed.Vector3D,org.apache.commons.math3.geometry.euclidean.threed.Rotation):315",center;rotation;applyTransform
"org.apache.commons.math3.util$FastMathCalc#expint(int,double[]):510",p
"org.apache.commons.math3.util$FastMathCalc#expint(int,double[]):511",p
org.apache.commons.math3.distribution$PascalDistribution#probability(int):146,ret
"org.apache.commons.math3.fraction$BigFractionFormat#parse(java.lang.String,java.text.ParsePosition):257",num;den
org.apache.commons.math3.analysis.function$Sinc#value(org.apache.commons.math3.analysis.differentiation.DerivativeStructure):202,t;compose;f
"org.apache.commons.math3.stat.regression$SimpleRegression#addObservations(double[][],double[]):307",obsOk
"org.apache.commons.math3.geometry.euclidean.threed$FieldVector3D#distanceSq(org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D,org.apache.commons.math3.geometry.euclidean.threed.Vector3D):1153",v1;v2;distanceSq
